artista,biografia
Claude Debussy,"Achille Claude Debussy (22 August 1862 – 25 March 1918) was a French composer often associated with Impressionism, a label he rejected. He was a significant figure in late 19th- and early 20th-century music.

Born into a modest family with little cultural background, Debussy showed early musical talent and was admitted to the Conservatoire de Paris at the age of ten. Initially focusing on piano studies, he later turned to composition, despite resistance from the institution's conservative faculty. <a href=""https://www.last.fm/music/Claude+Debussy"">Read more on Last.fm</a>"
Juan María Solare,"Composer & pianist Juan María Solare (Buenos Aires, 1966), an Argentine living in Germany, is one of those musicians that open scarcely travelled paths. The originality of his music stems from the confluence between post-Piazzollian tango and classical contemporary music. His singular style represents a synthesis of North and South, classical and popular, wit and melancholy, performance and composition. ""Art music and light music are not irreconcilable extremes, but poles in a force field"", says Solare about his ""musical bilingualism"". <a href=""https://www.last.fm/music/Juan+Mar%C3%ADa+Solare"">Read more on Last.fm</a>"
Francois Devienne,"  François Devienne (January 31, 1759 – September 5, 1803) was a French composer and professor for flute at the Paris Conservatory.

François Devienne was born in Joinville (Haute-Marne), as the youngest of fourteen children of a saddlemaker. After receiving his first musical training as a choirboy in his hometown, he was playing in various Parisian ensembles as soloist and orchestra player. He studied the flute with Félix Rault and in 1780 he joined the household of Cardinal de Rohan. <a href=""https://www.last.fm/music/Francois+Devienne"">Read more on Last.fm</a>"
Gustav Mahler,"Gustav Mahler (7 July 1860 – 18 May 1911) was an Austro-Bohemian composer and conductor, regarded as a key figure bridging 19th-century Austro-German traditions and early 20th-century modernism. While his reputation as a conductor was well established during his lifetime, his compositions gained wider recognition only after periods of neglect, including bans on their performance in much of Europe during the Nazi era. After 1945, his works were rediscovered and have since become frequently performed and recorded. <a href=""https://www.last.fm/music/Gustav+Mahler"">Read more on Last.fm</a>"
Simone Pedroni," <a href=""https://www.last.fm/music/Simone+Pedroni"">Read more on Last.fm</a>"
Jean Françaix,"Jean René Désiré Françaix (23 May 1912–25 September 1997) was a French neoclassical composer, pianist, and orchestrator, known for his prolific output and vibrant style.

Françaix's natural gifts were encouraged from an early age by his family: his father a musicologist, composer, and pianist, and his mother, a teacher of singing. He was only six when he took up composing, and his first publication, in 1922, caught the attention of a composer working for the publishing house who steered the gifted boy toward a gifted teacher <a href=""https://www.last.fm/music/Jean+Fran%C3%A7aix"">Read more on Last.fm</a>"
Tom Johnson,"American composer and critic Tom Johnson (born November 18, 1939 in Greeley, Colorado), is one of the few composers to self-identify as minimalist; in fact, he may have coined the term while serving as the new music critic for the Village Voice. He has since collected those articles in the book The Voice of New Music which is available free online. He has lived in Paris since 1983.

His pieces are most often based simply on mathematical and logical processes, such as tiling, which he attempts to make as clear as possible. <a href=""https://www.last.fm/music/Tom+Johnson"">Read more on Last.fm</a>"
Reinhold Glière,"Reinhold Glière (Kiev, 11 January 1875 – Moscow, 23 June 1956) was a Russian, Ukrainian composer. His name has appeared in different forms, as Рейнгольд Эрнeст Глиэр (Reingol'd Ernest Glier) and later, for standardization purposes, converted into Рейнгольд Морицевич Глиэр (Reingol'd Moritzevich Glier). He is referred to in most Western reference works as Reinhold Moritzevich Glière, or simply as Reinhold Glière. <a href=""https://www.last.fm/music/+noredirect/Reinhold+Gli%C3%A8re"">Read more on Last.fm</a>"
Evan Bogerd," <a href=""https://www.last.fm/music/Evan+Bogerd"">Read more on Last.fm</a>"
Niels Rønsholdt," <a href=""https://www.last.fm/music/+noredirect/Niels+R%C3%B8nsholdt"">Read more on Last.fm</a>"
Alice Ping Yee Ho," <a href=""https://www.last.fm/music/Alice+Ping+Yee+Ho"">Read more on Last.fm</a>"
Marcos Antonio Portugal,"Marcos António da Fonseca Portugal (March 24, 1762 – February 17, 1830) was a Portuguese classical composer, who achieved great international fame for his operas in Italian.

Portugal was born in Lisbon. He first studied music at the Patriarchal Seminary in Lisbon where, as a 14 year old student, he wrote his first work, a Miserere. He later worked as composer and organist at the Patriarchal See, and was maestro at the Theatre of Salitre in Lisbon. <a href=""https://www.last.fm/music/Marcos+Antonio+Portugal"">Read more on Last.fm</a>"
Dietrich Buxtehude,"Dieterich Buxtehude (Dietrich, Diderich) (c. 1637–9 May 1707) was a German-Danish organist and a highly regarded composer of the Baroque period. His organ works comprise a central part of the standard organ repertoire and are frequently performed at recitals and church services. He wrote in a wide variety of vocal and instrumental idioms, and his style strongly influenced many composers, including Johann Sebastian Bach. Buxtehude, along with Heinrich Schütz, is considered today to be the most important German composer of the mid-Baroque. <a href=""https://www.last.fm/music/Dietrich+Buxtehude"">Read more on Last.fm</a>"
Koushik Bhattacharjee," <a href=""https://www.last.fm/music/Koushik+Bhattacharjee"">Read more on Last.fm</a>"
Modest Mussorgsky,"Modest Petrovich Mussorgsky (Russian: Моде́ст Петро́вич Му́соргский, Modest Petrovič Musorgskij), also Modeste, Moussorgsky (and see also Модест Петрович Мусоргский) (March 9/21, 1839 – March 16/28, 1881), one of five Russian composers known as The Mighty Handful or The Five, they were: Mily Balakirev (the leader), César Cui, Modest Petrovich Mussorgsky, Nikolai Rimsky-Korsakov, and Alexander Borodin. <a href=""https://www.last.fm/music/+noredirect/Modest+Mussorgsky"">Read more on Last.fm</a>"
João Carlos Martins,"João Carlos Martins, born June 25, 1940 in São Paulo, Brazil is an acclaimed Brazilian classical pianist and conductor, who has performed with leading orchestras in the United States, Europe and Brazil.

He is celebrated as a great interpreter of Johann Sebastian Bach and has recorded his complete keyboard works. For decades Martins has been engaged as the leading pianist at the Boston Symphony Orchestra, the Los Angeles Philharmonic and other ensembles. <a href=""https://www.last.fm/music/+noredirect/Jo%C3%A3o+Carlos+Martins"">Read more on Last.fm</a>"
Erik Satie,"Eric Alfred Leslie Satie (17 May 1866 – 1 July 1925), known as Erik Satie, was a French composer and pianist. Born in Honfleur to a French father and a British mother, he studied at the Paris Conservatoire but did not complete his diploma. In the 1880s, he worked as a pianist in café-cabarets in Montmartre, Paris, and began composing works primarily for solo piano, including ""Gymnopédies"" and ""Gnossiennes"". He also wrote music for a Rosicrucian group with which he was briefly affiliated. <a href=""https://www.last.fm/music/Erik+Satie"">Read more on Last.fm</a>"
Dinos Constantinides,"
 The music of Greek born composer Dinos Constantinides (Boyd Professor of Composition) has been performed throughout the world. He is the recipient of many grants, commissions and awards, including first prizes in the 1981 Brooklyn College International Chamber Competition, the 1985 First Midwest Chamber Opera Conference, and the 1997 Delius composition Contest Grand Prize. He also received the 1985 American New Music consortium Distinguished Service Award <a href=""https://www.last.fm/music/Dinos+Constantinides"">Read more on Last.fm</a>"
Giovanni Paisiello,"Giovanni Paisiello (or Paesiello) (May 9, 1740 – June 5, 1816), was an Italian composer of the Classical era.

Paisiello was born at Taranto, where he attended the Jesuit college. The beauty of his singing voice attracted so much attention that in 1754 he was sent to the Conservatorio di S. Onofrio at Naples, where he studied under Francesco Durante, and in due course became assistant master. For the theatre of the Conservatorio, which he left in 1763 <a href=""https://www.last.fm/music/Giovanni+Paisiello"">Read more on Last.fm</a>"
Edvard Grieg,"Edvard Hagerup Grieg (15 June 1843 – 4 September 1907) was a Norwegian composer and pianist. He is widely considered one of the leading Romantic era composers, and his music is part of the standard classical repertoire worldwide. His use and development of Norwegian folk music in his own compositions put the music of Norway in the international spectrum, as well as helping to develop a national identity, much as Jean Sibelius and Antonín Dvořák did in Finland and Bohemia, respectively. <a href=""https://www.last.fm/music/Edvard+Grieg"">Read more on Last.fm</a>"
Benjamin Britten,"Edward Benjamin Britten, Baron Britten of Aldeburgh, OM (1913–1976) was a British composer, conductor, and pianist.

Britten was born on 22nd November 1913 in Lowestoft in Suffolk, the son of a dentist and a talented amateur musician. He began composing prolifically as a child, and in 1927 began private lessons with Frank Bridge. He also studied, less happily, at the Royal College of Music under John Ireland and with some input from Ralph Vaughan Williams. <a href=""https://www.last.fm/music/Benjamin+Britten"">Read more on Last.fm</a>"
Alfred Schnittke,"Alfred Garrievich Schnittke (Russian: Альфред Гарриевич Шнитке; born November 24, 1934 in Engels, USSR; died August 3, 1998 in Hamburg) was a soviet composer, pianist, theoretician of music and educator. His music is derived from various traditions: Russian (Dmitri Shostakovich, Igor Stravinsky), Germanic (Gustav Mahler, Alban Berg), and American (Charles Ives). 

On his mother’s side he was of Volga German and Roman Catholic extraction, on his father’s side he was German-Jewish. <a href=""https://www.last.fm/music/Alfred+Schnittke"">Read more on Last.fm</a>"
André-Ernest-Modeste Grétry," <a href=""https://www.last.fm/music/Andr%C3%A9-Ernest-Modeste+Gr%C3%A9try"">Read more on Last.fm</a>"
Francois-Joseph Gossec,"François-Joseph Gossec <a href=""https://www.last.fm/music/Francois-Joseph+Gossec"">Read more on Last.fm</a>"
André Jolivet,"André Jolivet (August 8, 1905 – December 20, 1974) was a French composer. Known for his devotion to French culture and musical thought, Jolivet's music draws on his interest in acoustics and atonality as well as both ancient and modern influences in music, particularly on instruments used in ancient times. He composed in a wide variety of forms for many different types of ensembles.

André Jolivet was born on 8 August 1905, at rue Versigny in Montmartre <a href=""https://www.last.fm/music/Andr%C3%A9+Jolivet"">Read more on Last.fm</a>"
Gerald Finzi,"Gerald Raphael Finzi (1901-1956) was an English composer, whose popularity has increased considerably in the years since his death.

Born on 14th July 1901 in London, the son of an Italian Jewish father and a German Jewish mother, Finzi nevertheless became one of the most characteristically English composers of his generation. Despite being an agnostic, he wrote some inspired and imposing Christian choral music.

Finzi's father, a successful shipbroker, died when his son was seven. <a href=""https://www.last.fm/music/Gerald+Finzi"">Read more on Last.fm</a>"
Gideon Klein,"Gideon Klein (December 6, 1919 – c.January 1945) was a Czech pianist and composer of classical music. He was born in Přerov and, showing musical talent early, studied piano with Růžena Kurzová and Vilém Kurz, and composition with Alois Hába.

In December 1941 he was deported by the Nazis to Terezín concentration camp, where along with Leoš Janáček's pupil Pavel Haas, Hans Krasa, and Schoenberg's pupil Viktor Ullmann he became one of the major composers in that camp, one of the few in which artistic activity occurred on any scale. <a href=""https://www.last.fm/music/Gideon+Klein"">Read more on Last.fm</a>"
Giovanni Pierluigi da Palestrina,"Giovanni Pierluigi da Palestrina (b. 3 February 1525 – 2 February 1526; d. 2 February 1594) was an Italian Renaissance composer and the most well-known 16th-century representative of the Roman School of musical composition. Palestrina became famous through his output of sacred music. He had an enormous influence on the development of Roman Catholic church music, and his work has often been seen as the culmination of Renaissance polyphony. It is only recently <a href=""https://www.last.fm/music/Giovanni+Pierluigi+da+Palestrina"">Read more on Last.fm</a>"
Antón García Abril,"Antón García Abril (born 19 May 1933 in Teruel) is a Spanish composer and musician.

Between 1974 and 2003, he was the head of the department of Compositions and Musical Forms (Composicion y Formas Musicales) of the Real Conservatorio Superior de Música in Madrid, and in 1982 he was elected a member of the Real Academia de Bellas Artes de San Fernando in Madrid. In 1994, he was awarded Spain's Premio Nacional de Música for composition, and in 2008, he was also named a member of the Real Academia de Bellas Artes de San Carlos in Valencia. <a href=""https://www.last.fm/music/+noredirect/Ant%C3%B3n+Garc%C3%ADa+Abril"">Read more on Last.fm</a>"
Luis de Pablo,"Luis de Pablo (born January 28, 1930) is a Spanish composer.

He was born in Bilbao, living in Madrid from age six and starting to compose aged 12. Although he received composition lessons from Maurice Ohana and Max Deutsch, he was essentially an autodidact in composition. His participation at the Darmstadt courses in 1959 led to the performance of some of his works under Boulez and Maderna.

In Spain, he founded several organizations: Nueva Música, Tiempo y Música, and Alea and organized several contemporary music concert series. <a href=""https://www.last.fm/music/Luis+de+Pablo"">Read more on Last.fm</a>"
Béla Bartók,"Béla Bartók was a Hungarian composer, pianist, and ethnomusicologist who lived from 1881 to 1945. He is considered one of the most influential composers of the 20th century, renowned for his innovative approach to composition and his exploration of folk music.

Bartók was born on March 25, 1881, in Nagyszentmiklós, Austria-Hungary (now Sânnicolau Mare, Romania). He showed prodigious musical talent from an early age and began his formal music education at the Budapest Academy of Music. <a href=""https://www.last.fm/music/+noredirect/B%C3%A9la+Bart%C3%B3k"">Read more on Last.fm</a>"
Antonín Dvořák,"Antonín Leopold Dvořák (8 September 1841 – 1 May 1904) was a Czech composer known for incorporating rhythms and elements of the folk music of Moravia and Bohemia into his work, following the nationalist example of his predecessor Bedřich Smetana. His style is regarded as a significant blend of national idiom with the symphonic tradition, effectively absorbing folk influences. Dvořák has been described as one of the most versatile composers of his time. <a href=""https://www.last.fm/music/+noredirect/Anton%C3%ADn+Dvo%C5%99%C3%A1k"">Read more on Last.fm</a>"
Dominick Argento," <a href=""https://www.last.fm/music/Dominick+Argento"">Read more on Last.fm</a>"
Jean-Philippe Rameau,"Jean-Philippe Rameau (25 September 1683 - 12 September 1764) was one of the most important French composers and music theorists of the Baroque era. He replaced Jean-Baptiste Lully as the dominant composer of French opera, and was attacked by those who preferred Lully's style.

Rameau’s music is characterised by the exceptional technical knowledge of a composer who wanted above all to be renowned as a theorist of the art. Nevertheless it is not solely addressed to the intelligence and Rameau himself claimed “I try to conceal art with art”. <a href=""https://www.last.fm/music/Jean-Philippe+Rameau"">Read more on Last.fm</a>"
Enrique Granados,"Enrique Granados (1867-1916) was a Catalan pianist and composer.

Granados was born on the 27th July, 1867 in Lérida, Catalonia to an officer in the Spanish army, and received his first musical instruction from an army bandmaster. Further studies in Barcelona with Jurnet (piano) and Pedrell (composition) prepared the young musician for a brief but highly influential stay in Paris (1887-1889), during which he worked under well-known Parisian pianist and teacher Charles de Bériot (son of the famous violinist of the same name). <a href=""https://www.last.fm/music/Enrique+Granados"">Read more on Last.fm</a>"
Antonio Vivaldi,"Antonio Lucio Vivaldi (4 March 1678 – 28 July 1741) was an Italian composer, virtuoso violinist, impresario of Baroque music, and Roman Catholic priest. He is regarded as one of the leading Baroque composers, with a significant influence across Europe during his lifetime. Vivaldi contributed to developments in orchestration, violin technique, and programmatic music. He played a key role in consolidating the concerto form, particularly the solo concerto, into a widely recognised musical idiom. <a href=""https://www.last.fm/music/Antonio+Vivaldi"">Read more on Last.fm</a>"
Georg Philipp Telemann,"Georg Philipp Telemann (24 March 1681 – 25 June 1767) was a German Baroque composer and multi-instrumentalist. He is among the most prolific composers in history in terms of surviving works. During his lifetime, Telemann was regarded as one of the leading German composers and was favourably compared to both Johann Sebastian Bach and George Frideric Handel, whom he knew personally. Bach named his son Carl Philipp Emanuel after Telemann, who was also the child's godfather. <a href=""https://www.last.fm/music/Georg+Philipp+Telemann"">Read more on Last.fm</a>"
Gabriel Fauré,"Gabriel Urbain Fauré (12 May 1845  – 4 November 1924) was a French composer, often seen as a transitional figure between the Romantic period and Impressionism. In contrast with his harmonic and melodic style, which pushed the bounds for his time, Fauré’s rhythmic motives tended to be subtle and repetitive, with little to break the flow of the line, although he did utilize subtle large scale syncopations, similar to those found in the works of Johannes Brahms. Aaron Copland referred to him as the ‘French Brahms’. <a href=""https://www.last.fm/music/+noredirect/Gabriel+Faur%C3%A9"">Read more on Last.fm</a>"
Istvan Szekely,"isaac István Székely
was born in Sombor (Vojvodina, Serbia) in 1977. He has hungarian origins. He started his musical training having only 3 years old, receiving his first lessons from his mother. At the age of 10, he won the first price of the Young Musicians Competition at his native city, giving his first recital at the age of 13, and his first performance with orchestra at the age of 15 playing the Coral Fantasy of Beethoven. In 1994 he moved to Israel being the youngest student of the Rubin Music Academy of Jerusalem <a href=""https://www.last.fm/music/Istvan+Szekely"">Read more on Last.fm</a>"
Bernat Vivancos,"The musical personality of Bernat Vivancos (Barcelona, ​​1973) is marked by the impressions received during his school years at the Monastery of Montserrat. Son of a deeply musical family, having completed studies in piano and composition with Maria Canals and David Padrós in Barcelona, he moved to Paris for five years to study composition at the Conservatoire National Supérieur de Musique et de Danse de Paris -center for avant-garde European music- <a href=""https://www.last.fm/music/Bernat+Vivancos"">Read more on Last.fm</a>"
Sérgio de Vasconcellos Corrêa," <a href=""https://www.last.fm/music/S%C3%A9rgio+de+Vasconcellos+Corr%C3%AAa"">Read more on Last.fm</a>"
