artista,biografia
Juliana Cortes," <a href=""https://www.last.fm/music/Juliana+Cortes"">Read more on Last.fm</a>"
Mezz Mezzrow,"Milton Mesirow, better known as Mezz Mezzrow (November 9, 1899 – August 5, 1972) was an American jazz clarinetist and saxophonist from Chicago, Illinois. Mezzrow is well known for organizing and financing historic recording sessions with Tommy Ladnier and Sidney Bechet. Mezzrow also recorded a number of times with Bechet and briefly acted as manager for Louis Armstrong. He is equally well remembered, however, for being a colorful character, as clearly portrayed in his autobiography Really The Blues, as for his music. <a href=""https://www.last.fm/music/Mezz+Mezzrow"">Read more on Last.fm</a>"
Beny Moré,"Beny Moré (sometimes Benny Moré, Benny More or Beny More) (August 24, 1919 – February 19, 1963) is considered by many fans of Cuban music as the greatest Cuban singer of all time.
He was gifted with an innate musicality and fluid tenor voice which he colored and phrased with great expressivity. Moré was a master of all the genres of Cuban music, including son montuno, mambo, guaracha, guajira, cha cha cha, afro, canción, guaguancó, and bolero. <a href=""https://www.last.fm/music/+noredirect/Beny+Mor%C3%A9"">Read more on Last.fm</a>"
Alice Lamb," <a href=""https://www.last.fm/music/Alice+Lamb"">Read more on Last.fm</a>"
Phil Woods,"Philip Wells Woods (November 2, 1931 – September 29, 2015) was an American jazz alto saxophonist, clarinetist, bandleader and composer.

Woods was born in Springfield, Massachusetts. He studied music with Lennie Tristano, who influenced him greatly, at the Manhattan School of Music and at the Juilliard School. His friend, Joe Lopes, coached him on clarinet as there was no saxophone major at Juilliard at the time. Although he did not copy Charlie ""Bird"" Parker <a href=""https://www.last.fm/music/Phil+Woods"">Read more on Last.fm</a>"
Massimo Faraò,"Born in Genoa, Italy on 16th May 1965, Farao was Studied with Flavio Crivelli. Cooperate with and affected Benny Golson, Archie Shepp, Hal Singer, Clifford Jordan, Nat Adderley, Charles Tolliver, Conte Candoli, Clark Terry, Shirley Scott, Jack McDuff, Bobby Durham, Jimmy Cobb, Albert Toot Heath, Ray Brown, Ron Carter, Buster Williams, Art Farmer, Walter Booker, Kenny Burrell, Red Holloway, Benny Bailey, Lester Bowie, Harold Land, Bobby Solo, Massimo Urbani <a href=""https://www.last.fm/music/+noredirect/Massimo+Fara%C3%B2"">Read more on Last.fm</a>"
Greg Walker,"There is more than one artist with this name:

1) Greg Walker was a member of Santana and Fifth Dimension.

2) Greg Walker is a seven-time multi-category semi finalist and finalist in the prestigious UK Songwriting Contest, including second place in the Jazz/Blues category of the 2002. His first album, Straight From The Source 1 gained success in the independent artists download charts at mp3tunes.com, where it held the No.1 position simultaneously in the overall Jazz chart <a href=""https://www.last.fm/music/Greg+Walker"">Read more on Last.fm</a>"
SaxoFOUR," <a href=""https://www.last.fm/music/Saxofour"">Read more on Last.fm</a>"
Snowboy,"Snowboy (aka Mark Cotgrove) is a UK-based Afro Cuban percussionist, bandleader, DJ, music critic, journalist and music promoter.

Featured in the Who's Who of Latin American Music, Snowboy has released 11 albums and 17 singles in a career that spans over 15 years and has taken him and his authentic Afro-Cuban sound to concert stages all over the world.

Snowboy with his band The Latin Section, comprising the cream of the UK's Latin Jazz musicians, carries the torch with their authentic Latin Jazz style. <a href=""https://www.last.fm/music/Snowboy"">Read more on Last.fm</a>"
"David ""Fathead"" Newman","David ""Fathead"" Newman (b. February 24, 1933 in Corsicana, Texas - d. January 20, 2009 in Dallas, Texas), was an American saxophonist.

His professional career began in 1954 as an original member of Ray Charles' Band.

Newman had a prolific recording and performing career.

Newman got his nickname in high school music class. Mr. Miller, his then music teacher, saw his music upside down on the stand, and knowing that Newman couldn't read music very well at the time <a href=""https://www.last.fm/music/David+%22Fathead%22+Newman"">Read more on Last.fm</a>"
Ole Amund Gjersvik,"Ole Amund Gjersvik

Ole Amund Gjersvik (born 10 December 1963 in Bergen, Norway) is a Norwegian Jazz musician (upright bass) and composer, central on the Bergen jazz scene and known from a number of record releases.

Career
Gjersvik studied at the Grieg Academy in Bergen, Bergen Conservatory of Music, where he has also taught. As a performing musician, he has led his own trios, quartets and quintets as well as tango orchestra Combo Tango. Gjersvik is very versatile and has played with musicians like Kaizers Orchestra <a href=""https://www.last.fm/music/Ole+Amund+Gjersvik"">Read more on Last.fm</a>"
Jan Ptaszyn Wroblewski Sextet," <a href=""https://www.last.fm/music/Jan+Ptaszyn+Wroblewski+Sextet"">Read more on Last.fm</a>"
Raphael Wressnig,"Throughout the years Raphael Wressnig created his very own explosive and yet elegant organ style and quickly became well established as one of the icons of the new generation of organ players and a well respected figure in the international jazz and blues scene. Raphael Wressnig was born on the 14th of October 1979 in Graz, Austria. He started to learn various styles of playing the piano and the organ like Blues, Jazz and Funk as an autodidact at the age of 16. <a href=""https://www.last.fm/music/Raphael+Wressnig"">Read more on Last.fm</a>"
Scheen Jazzorkester," <a href=""https://www.last.fm/music/Scheen+Jazzorkester"">Read more on Last.fm</a>"
Giulia Valle Trio," <a href=""https://www.last.fm/music/Giulia+Valle+Trio"">Read more on Last.fm</a>"
Woody Herman,"Woodrow Charles Herman (May 16, 1913 – October 29, 1987), better known as Woody Herman, was an American jazz clarinetist, alto and soprano saxophonist, singer, and Big band leader. During his lifetime, he led some of the most exciting big bands of the twentieth century. His bands changed styles and approaches to jazz but still managed to keep their musical integrity.

Herman was born in Milwaukee, Wisconsin. As a child he worked as a singer in vaudeville, then became a professional saxophone player at age 15. <a href=""https://www.last.fm/music/Woody+Herman"">Read more on Last.fm</a>"
"Johnny ""Hammond"" Smith","Johnny ""Hammond"" Smith (born John Robert Smith) was an American jazz organist born in Louisville, Kentucky on December 16, 1933 and who died on June 4, 1997. Smith was a renowned player of the Hammond B-3 organ, thus earning ""Hammond"" as a nickname. Smith recorded a series of albums on the well-regarded CTI Records (Creed Taylor) jazz record label. Hammond's song ""Shifting Gears"" was featured on the breakbeat compilation ""Ultimate Breaks and Beats"". <a href=""https://www.last.fm/music/+noredirect/Johnny+%22Hammond%22+Smith"">Read more on Last.fm</a>"
Octavio Bugni," <a href=""https://www.last.fm/music/Octavio+Bugni"">Read more on Last.fm</a>"
Glenn Weyant," <a href=""https://www.last.fm/music/Glenn+Weyant"">Read more on Last.fm</a>"
Enrico Intra," <a href=""https://www.last.fm/music/Enrico+Intra"">Read more on Last.fm</a>"
Eduardo Mendonça,"EDUARDO MENDONÇA.


Eduardo Mendonça,  is a native of Salvador, Bahia, Brazil and received his Master in Arts Education at the Instituto de Música da Universidade Católica do Salvador (Music Institute of the Catholic University of Salvador). Mendonça performed as featured musician in many venues in Bahia, and in 1991 he was featured in Paul Simon’s documentary music video, “Born at the Right Time.”  In 1999 in Seattle, Eduardo Mendonça performed for former South Africa President Nelson Mandela <a href=""https://www.last.fm/music/Eduardo+Mendon%C3%A7a"">Read more on Last.fm</a>"
Greekboy," <a href=""https://www.last.fm/music/Greekboy"">Read more on Last.fm</a>"
Barney Kessel,"One of the finest guitarists to emerge after the death of Charlie Christian, Barney Kessel (October 17, 1923 – May 6, 2004) was a reliable bop soloist throughout his career. He played with a big band fronted by Chico Marx (1943), was fortunate enough to appear in the classic jazz short Jammin' the Blues (1944) and then worked with the big bands of Charlie Barnet (1944-45) and Artie Shaw (1945); he also recorded with Shaw's Gramercy Five. 

Kessel became a busy studio musician in Los Angeles but was always in demand for jazz records. <a href=""https://www.last.fm/music/Barney+Kessel"">Read more on Last.fm</a>"
Enrico Intra," <a href=""https://www.last.fm/music/Enrico+Intra"">Read more on Last.fm</a>"
Eric Bouvelle," <a href=""https://www.last.fm/music/Eric+Bouvelle"">Read more on Last.fm</a>"
Ivo Perelman,"Ivo Perelman is free jazz saxophonist born in São Paulo, Brazil on January 12, 1961.

Perelman learned to play guitar, cello, clarinet, trombone, and piano while young, and concentrated on tenor sax from age 19. He attended the Berklee College of Music for one semester and then dropped out, moving to Los Angeles in 1986. Perelman released his first album in 1989, which featured Peter Erskine, John Patitucci, Airto Moreira, Elaine Elias, and Flora Purim as guests. <a href=""https://www.last.fm/music/Ivo+Perelman"">Read more on Last.fm</a>"
Mark O'Connor,"There are two artists known as Mark O'Connor

1. Mark O'Connor (born August 5, 1961 in Seattle, Washington) is an American bluegrass, country and classical fiddler, composer and music teacher. O'Connor's music is wide-ranging, critically acclaimed, and he has received numerous awards for both his playing and his composition. As a teenager he won national string instrument championships for his virtuoso playing of the guitar and mandolin as well as on the fiddle. <a href=""https://www.last.fm/music/Mark+O%27Connor"">Read more on Last.fm</a>"
Jan Ptaszyn Wroblewski Sextet," <a href=""https://www.last.fm/music/Jan+Ptaszyn+Wroblewski+Sextet"">Read more on Last.fm</a>"
PAX JAPONICA GROOVE,"Pax Japonica Groove is a project by house musician 黒坂修平 (Kurosaka Shuhei) which began for the purpose of helping promote world peace by means of unlocking the natural, harmonious spirit of Japan. Pax Japonica Groove's live sets can include up to ten different domestic and international musicians and collaborators on stage, while their performances focus on crossing genre boundaries, expression of the mind and body, and giving emotional excitement to their audience. <a href=""https://www.last.fm/music/Pax+Japonica+Groove"">Read more on Last.fm</a>"
Duke Ellington,"Duke Ellington (Edward Kennedy Ellington, April 29, 1899  - May 24, 1974) was an American jazz composer, pianist and bandleader, one of the most influential figures in jazz, if not in all American music.
Duke Ellington composed over 3000 songs, including: ""It Don't Mean A Thing If It Ain't Got That Swing"", ""Sophisticated Lady"", ""Mood Indigo"", “Solitude"", ""In a Mellotone"", and ""Satin Doll"". 
Through the ranks of Duke Ellington & His Orchestra passed some of the biggest names in jazz <a href=""https://www.last.fm/music/Duke+Ellington"">Read more on Last.fm</a>"
"Eddie ""Cleanhead"" Vinson","Eddie ""Cleanhead"" Vinson (December 18, 1917 - July 2, 1988) was an American jazz and rhythm and blues alto saxophonist and blues shouter.

After working in the Milton Larkins and Cootie Williams orchestras, he established his own big band in 1945. In 1947 he had a major rhythm and blues hit with ""Old Maid Boogie/Kidney Stew Blues"".

Vinson recorded both jazz and rhythm and blues. He wrote ""Tune Up"" and ""Four"" for Miles Davis, as well as the classic blues numbers ""Somebody Done Stole My Cherry Red,"" ""Person to Person,"" and ""They Call Me Mr. <a href=""https://www.last.fm/music/Eddie+%22Cleanhead%22+Vinson"">Read more on Last.fm</a>"
Monika Hoffman,"Many cultures lie in the singer/songwriter Monika Hoffman. Her father is Swedish and her mother Hungarian, and even though Monika was born in Malmö, Sweden, she grew up speaking fluent Hungarian and English. Monika believes that because of her Latvian, Hungarian and Swedish roots she feels at home in a variety of musical genres. 

Music has been Monika’s whole life, she started playing the violin when she was three years old then the piano and the saxophone came along. <a href=""https://www.last.fm/music/Monika+Hoffman"">Read more on Last.fm</a>"
Federico Casagrande," <a href=""https://www.last.fm/music/Federico+Casagrande"">Read more on Last.fm</a>"
Ruben Alves," <a href=""https://www.last.fm/music/Ruben+Alves"">Read more on Last.fm</a>"
İlhan İrem,"İlhan İrem was born in 1955. His musical carrier as a composer, writer and singer began in 1973. He sang only his own work, created a new style which made him a ""music apostle"". In the 80's he was involved with Symphonic Rock.  He wrote five books with short stories, poems and anecdotes. His books are still being published today. Irem is also a painter. He had several exhibitions. His 20 records and 10 singles are still being produced and distributed in Turkey. Several of those records won him awards, including 7 gold. <a href=""https://www.last.fm/music/+noredirect/%C4%B0lhan+%C4%B0rem"">Read more on Last.fm</a>"
Christine Tobin,"Christine Tobin (born in Dublin on 7 January 1963) is an Irish vocalist and composer who has been part of the London jazz and improvising scene since the second half of the 1980s. Tobin won Best Vocalist in the 2008  BBC Jazz Awards, British Composer Award for Best Contemporary Jazz Composition BASCA in 2012, and Jazz Vocalist of the Year, Parliamentary Jazz Awards 2014. In the 1990s she was a member of Lammas and, in 2010, released an album as Christine Tobin And Liam Noble with pianist Liam Noble.  <a href=""https://www.last.fm/music/Christine+Tobin"">Read more on Last.fm</a>"
Eugene Williams," <a href=""https://www.last.fm/music/Eugene+Williams"">Read more on Last.fm</a>"
Lucky Thompson,"Eli (Lucky) Thompson (June 16, 1924 in Columbia, South Carolina – July 30, 2005 in Seattle, Washington) was an African American jazz tenor and soprano saxophonist.

He is considered to have, alongside Steve Lacy brought the soprano saxophone out of obsolescence, playing it in a more advanced boppish format, which inspired John Coltrane to take it up in the early 1960s.

After playing with the swing orchestras of Lionel Hampton, Don Redman, Billy Eckstine <a href=""https://www.last.fm/music/Lucky+Thompson"">Read more on Last.fm</a>"
SaxoFOUR," <a href=""https://www.last.fm/music/Saxofour"">Read more on Last.fm</a>"
Jimmy Forrest,"Jimmy Robert Forrest Jr. (January 24, 1920 - August 26, 1980) was a jazz musician who played tenor saxophone throughout his career.

He is famous for his first solo recording of ""Night Train"", with its irresistible hook and classic tenor solo. He recorded frequently as both a side man and a leader. ""Night Train"" reached # 1 on the R&B charts in March 1952, and stayed at the top for seven weeks. ""Hey Mrs. Jones"" (# 3 R&B) and ""Bolo Blues"" were his other major hits. <a href=""https://www.last.fm/music/Jimmy+Forrest"">Read more on Last.fm</a>"
James Butler," <a href=""https://www.last.fm/music/James+Butler"">Read more on Last.fm</a>"
Greg Walker,"There is more than one artist with this name:

1) Greg Walker was a member of Santana and Fifth Dimension.

2) Greg Walker is a seven-time multi-category semi finalist and finalist in the prestigious UK Songwriting Contest, including second place in the Jazz/Blues category of the 2002. His first album, Straight From The Source 1 gained success in the independent artists download charts at mp3tunes.com, where it held the No.1 position simultaneously in the overall Jazz chart <a href=""https://www.last.fm/music/Greg+Walker"">Read more on Last.fm</a>"
James Butler," <a href=""https://www.last.fm/music/James+Butler"">Read more on Last.fm</a>"
Greg Walker,"There is more than one artist with this name:

1) Greg Walker was a member of Santana and Fifth Dimension.

2) Greg Walker is a seven-time multi-category semi finalist and finalist in the prestigious UK Songwriting Contest, including second place in the Jazz/Blues category of the 2002. His first album, Straight From The Source 1 gained success in the independent artists download charts at mp3tunes.com, where it held the No.1 position simultaneously in the overall Jazz chart <a href=""https://www.last.fm/music/Greg+Walker"">Read more on Last.fm</a>"
Greg Walker,"There is more than one artist with this name:

1) Greg Walker was a member of Santana and Fifth Dimension.

2) Greg Walker is a seven-time multi-category semi finalist and finalist in the prestigious UK Songwriting Contest, including second place in the Jazz/Blues category of the 2002. His first album, Straight From The Source 1 gained success in the independent artists download charts at mp3tunes.com, where it held the No.1 position simultaneously in the overall Jazz chart <a href=""https://www.last.fm/music/Greg+Walker"">Read more on Last.fm</a>"
Martin Liege," <a href=""https://www.last.fm/music/Martin+Liege"">Read more on Last.fm</a>"
James Butler," <a href=""https://www.last.fm/music/James+Butler"">Read more on Last.fm</a>"
Martin Liege," <a href=""https://www.last.fm/music/Martin+Liege"">Read more on Last.fm</a>"
Afro-Cuban All Stars,"Afro-Cuban All Stars is a Cuban band led by Juan de Marcos González. Their music is a mix of all the styles of Cuban music, including bolero, chachachá, salsa, son montuno, timba, guajira, danzón, rumba and abakua.

They are known internationally for their 1997 album A Toda Cuba le Gusta, which was recorded at the Buena Vista Social Club sessions. Members have included Rubén González, Orlando ""Cachaíto"" López, Ibrahim Ferrer, Raúl Planas, Pío Leyva <a href=""https://www.last.fm/music/Afro-Cuban+All+Stars"">Read more on Last.fm</a>"
Jimmie Lunceford,"James Melvin ""Jimmie"" Lunceford (June 6, 1902 – July 12, 1947) was an American jazz alto saxophonist and bandleader in the swing era.

Lunceford was born in Fulton, Mississippi. Little is known about his parents, though his father was a choirmaster in Warren, Ohio, before the family moved to Denver. Lunceford went to high school in Denver and studied music under Wilberforce J. Whiteman, father of Paul Whiteman, whose band was soon to acquire a national reputation. <a href=""https://www.last.fm/music/Jimmie+Lunceford"">Read more on Last.fm</a>"
Dexter,"There are at least eight artists who go by the name Dexter:

1. A producer, DJ and MC from Germany. He digs Flylo, Madlib and Oh-No as much as library music, psych rock and Amiga Schlager. Dexter is one of the founding members of the Generation Tapedeck blog. 

2. A four-time Australian DMC Champion turntablist of The Avalanches and Grrilla Step Collective fame.

3. DJ and producer from The Netherlands. He is one of the founders of Klakson label. <a href=""https://www.last.fm/music/Dexter"">Read more on Last.fm</a>"
Túlio Borges,"Túlio Borges (b. 1980) is a Brazilian musician, singer, and songwriter.

Born in Brasília, Borges studied communications, law, and psychology, but has followed a career in music.   After a brief stay in Seattle in the mid to late 1990s, he returned to Brazil. He is an aficionado of jazz and fado as well as of his native Brazilian music, and these have all had an effect on Borges' own work. His first album is Eu venho vagando no ar. <a href=""https://www.last.fm/music/T%C3%BAlio+Borges"">Read more on Last.fm</a>"
Mah Kouyaté," <a href=""https://www.last.fm/music/Mah+Kouyat%C3%A9"">Read more on Last.fm</a>"
Shannon & Keast,"Shannon & Keast are James Shannon and Olivia Keast. Meeting while at ACM, they soon discovered a musical understanding which led to something magical. Sparking the initial creativity was a mutual love of Jazz Standards and vintage styles.        Members: James Shannon, Olivia Keast
https://www.facebook.com/shannonandkeast/

https://shannonandkeast.co.uk <a href=""https://www.last.fm/music/Shannon+&+Keast"">Read more on Last.fm</a>"
Terry Dexter,"Her name is familiar. You've probably heard of her before, and you may have even heard the full-range of her indelible vocal skills and unmistakable, impassioned voice on the works of other recording artists and soundtracks. She is perhaps best known for her 1999 Warner Bros. Records debut, the self-titled release Terry Dexter which spawned two singles “Better Than Me” and “Strayed Away”, both of which charted in the top 20 R&B on BILLBOARD <a href=""https://www.last.fm/music/Terry+Dexter"">Read more on Last.fm</a>"
Kika Sprangers," <a href=""https://www.last.fm/music/Kika+Sprangers"">Read more on Last.fm</a>"
Wendell Brunious," <a href=""https://www.last.fm/music/Wendell+Brunious"">Read more on Last.fm</a>"
David Finck," <a href=""https://www.last.fm/music/David+Finck"">Read more on Last.fm</a>"
Katie Noonan,"Over the last two years Katie Noonan and her new band ‘The Captains’ ( Cameron Deyell – guitar, Stu Hunter – keys/bass, Declan Kelly – drums) have been building a vessel of exciting new songs. 

A return to form for Katie, this band sees the songstress sailing towards a more beloved lush and organic sound with her trademark strong and inspired personal stories. 

Katie has co-written songs with a host of Anzac luminaries including Tim Finn, Don Walker, Sia Furler, Josh Pyke, Tom Shapcott and her fellow ‘Captains’ band mates.  <a href=""https://www.last.fm/music/Katie+Noonan"">Read more on Last.fm</a>"
Joshua Redman Quartet,"Joshua Redman (born February 1, 1969) is a prominent American jazz saxophonist who records for Nonesuch Records.

Redman, who is Black and Jewish, was born in Berkeley, California. He is the son of jazz saxophonist Dewey Redman. He is a graduate of Berkeley High School. Then in 1991 he graduated summa cum laude from Harvard University, where he was a member of Phi Beta Kappa Society.

Redman won the Thelonious Monk International Jazz Saxophone Competition the same year and began focusing on his musical career. <a href=""https://www.last.fm/music/Joshua+Redman+Quartet"">Read more on Last.fm</a>"
Instrumental Jazz Music Ambient," <a href=""https://www.last.fm/music/Instrumental+Jazz+Music+Ambient"">Read more on Last.fm</a>"
Al Jolson,"Asa ""Al Jolson"" Yoelson (born to Jewish immigrants Moshe Reuben Yoelson and Naomi Etta Cantor - the original family name was Hesselson - in Seredžius, Lithuania on May 26, 1885 or 1886, and died in San Francisco, California on October 23, 1950) was an American singer. He was one of the most popular entertainers of the first half of the 20th century.

Early life and career

The son of the Rabbi of the Talmud Torah Synagogue (now Ohev Sholom Talmud Torah) in Washington, D. <a href=""https://www.last.fm/music/Al+Jolson"">Read more on Last.fm</a>"
California Ramblers,"This archetypal California Ramblers band was based in New York City.  One of the front men was Adrian Rollini, an accomplished musician even in his teens.  He played with Bix Beiderbecke in the famous autumn 1927 sessions in New York.  His throbbing bass saxophone can be heard driving the music along.  The California Ramblers playes 1920's popular hits such as Five Foot Two (Eyes of Blue) and Butter and Egg Man.

Although the California Ramblers' heyday was a few short years <a href=""https://www.last.fm/music/California+Ramblers"">Read more on Last.fm</a>"
Lina Nyberg,"Lina Nyberg was born in Stockholm in 1970 and raised in an artistic home. She discovered jazz at age 14 and at 18 years of age Lina began singing with Swedish jazz stars such as Bernt Rosengren, Nisse Sandstrom, Fredrik Noren Band, and others. In 1990 Lina built her own first constellation ""Lina Nyberg Kvintett"" consisting of Per ""Texas"" Johansson, Esbjorn Svensson, Dan Berglund, and Mikel Ulfberg. Lina studied at the Royal Academy of Music in Stockholm from 1991 to 1993. <a href=""https://www.last.fm/music/Lina+Nyberg"">Read more on Last.fm</a>"
Peter Szendofi,"Peter Szendolfi is a largely self taught drummer from Hungary, with an impressive musical history, and surprisingly musical virtuosity. His own group, Fusio Group, has released four albums. He has also recorded a solo album, triAngel, featuring Gary Wills on bass. Additional autobiographical notes can be found at http://www.allaboutjazz.com/php/musician.php?id=16456 <a href=""https://www.last.fm/music/Peter+Szendofi"">Read more on Last.fm</a>"
Roger Wolfe Kahn," <a href=""https://www.last.fm/music/Roger+Wolfe+Kahn"">Read more on Last.fm</a>"
The Jazz Crusaders,"The Jazz Crusaders were started in 1961 by Joe Sample (piano), Wilton Felder (tenor sax), Stix Hooper (drums), and Wayne Henderson (trombone). The group employed a number of bassists (and also a few guitarists) throughout the '60s. As the decade progressed the Jazz Crusaders moved from a more bop-oriented sound and began to incorporate more soul and R&B influences.

In 1971 the band shortened its name to The Crusaders, which made sense seeing as they were playing much more funk than jazz. <a href=""https://www.last.fm/music/The+Jazz+Crusaders"">Read more on Last.fm</a>"
Alexey Kruglov,"Russian jazz saxophonist and composer, born 5 September 1979. <a href=""https://www.last.fm/music/Alexey+Kruglov"">Read more on Last.fm</a>"
Charles Mingus,"Charles Mingus (22nd April 1922 – 5th January 1979) was an American jazz bassist, composer, bandleader, and occasional pianist from Los Angeles. He was also known for his activism against racial injustice.

Mingus' legacy is notable: he is ranked among the finest composers and performers in jazz, and recorded many highly regarded albums. Dozens of musicians passed through his bands and later went on to impressive careers. His songs - though melodic and distinctive - are not often recorded by later musicians <a href=""https://www.last.fm/music/Charles+Mingus"">Read more on Last.fm</a>"
Monika Hoffman,"Many cultures lie in the singer/songwriter Monika Hoffman. Her father is Swedish and her mother Hungarian, and even though Monika was born in Malmö, Sweden, she grew up speaking fluent Hungarian and English. Monika believes that because of her Latvian, Hungarian and Swedish roots she feels at home in a variety of musical genres. 

Music has been Monika’s whole life, she started playing the violin when she was three years old then the piano and the saxophone came along. <a href=""https://www.last.fm/music/Monika+Hoffman"">Read more on Last.fm</a>"
Christian Garrick,"Improvising Violinist  <a href=""https://www.last.fm/music/Christian+Garrick"">Read more on Last.fm</a>"
Andreas Tschopp,"Andreas Tschopp is a jazz trombonist from Switzerland. 
  <a href=""https://www.last.fm/music/Andreas+Tschopp"">Read more on Last.fm</a>"
Emma Pask,"Emma Pask (born 1977) is an Australian jazz vocalist. She is best known for her work with big bands and her continuing collaboration with noted Australian virtuoso James Morrison.
Pask grew up in the Sutherland Shire of Sydney and attended Kirrawee High School.
While singing with her high school band at 14, Pask was discovered by Morrison at a school performance in 1994 at 16. From then on, she has been the vocal feature of Morrison's bands. She also has a background in acting. <a href=""https://www.last.fm/music/Emma+Pask"">Read more on Last.fm</a>"
Andrezz," <a href=""https://www.last.fm/music/Andrezz"">Read more on Last.fm</a>"
Vangelis Katsoulis,"Vangelis Katsoulis (Βαγγέλης Κατσούλης) is a Greek composer and co-founder of record label Utopia born in Athens in 1949. He is credited on a number of releases from the 1980's to the 2000's as a recorder and engineer, Instrumentally, he's mostly known for playing synthesizers and piano. The genres he's most involved in are New Age, Post-Minimalism, Sequencer & Tracker and ECM Style Jazz. Katsoulis still makes music to this day and he is an essential figure for any avid enjoyer of underground Ambient and New Age music. <a href=""https://www.last.fm/music/Vangelis+Katsoulis"">Read more on Last.fm</a>"
Barre Phillips,"Barre Phillips

At the age of three Barre Phillips was already giving solo song recitals. He studied romance languages at Berkeley and then moved to New York where he received double bass lessons from Frederick Zimmermann in the early 60s. In March and April 1963 Barre Phillips played with Eric Dolphy at Carnegie Hall, part of Gunther Schuller's Twentieth-Century Innovations series, and from 1964 he was a member of Jimmy Giuffre's revolutionary drumless trio. <a href=""https://www.last.fm/music/Barre+Phillips"">Read more on Last.fm</a>"
J. C. Higginbotham," <a href=""https://www.last.fm/music/+noredirect/J.+C.+Higginbotham"">Read more on Last.fm</a>"
Mari Nakamoto," <a href=""https://www.last.fm/music/Mari+Nakamoto"">Read more on Last.fm</a>"
Mala Traza," <a href=""https://www.last.fm/music/Mala+Traza"">Read more on Last.fm</a>"
Hubert Deuringer," <a href=""https://www.last.fm/music/Hubert+Deuringer"">Read more on Last.fm</a>"
